华 wxf
土 ffff
歌 sksw
麓 ssyx
圄 lgkd
圻 frh
死 gqx
麦 gtu
圪 ftn
莒 akkf
歪 gig
麸 gqfw
圣 cff
此 hx
步 hi
止 hh
麾 yssn
聩 bkh
聪 bukn
了 b
予 cbj
事 gk
二 fg
于 gf
云 fcu
劾 yntl
势 rvyl
五 gg
亘 gjgf
亚 gog
亢 ymb
聂 bcc
亭 yps
圈 lud
亮 ypm
聘 bmg
劝 cl
功 al
亵 yrve
踊 khc
踉 khye
崖 mdff
踣 khuk
蕴 axj
踮 khyk
踹 khmj
糖 oyvk
柏 srg
糟 ogmj
柔 cbts
某 afs
柑 saf
染 ivs
浙 irr
糌 othj
里 jfd
柬 glii
柯 ssk
柴 hxs
糠 oyvi
柳 sqt
糯 ofdj
焖 oun
焙 ouk
妓 vfc
妖 vtd
妈 vc
焉 ghgo
焰 oqv
然 qd
崎 mds
西 sghg
妩 vfq
焦 wyo
妥 ev
路 kht
跬 khff
跤 khuq
疡 unr
疤 ucv
疸 ujg
疹 uwe
疾 utd
跻 khyj
歧 hfc
疲 uhc
践 khg
闯 ucd
疃 luj
藩 aitl
疆 xfgg
跃 khtd
门 uyh
跟 khv
跚 khmg
闲 usi
闾 ukkd
疑 xtdh
疗 ubk
劭 vkl
状 udy
牛 rhk
浸 ivp
帅 jmh
市 ymhj
蓄 ayx
求 fiy
汀 ish
师 jgm
务 tl
汛 inf
避 nkup
遵 usgp
帜 mhkw
汗 ifh
帘 pwm
带 gkp
帧 mhhm
汩 ijg
蓦 ajdc
池 ib
污 ifn
汤 inr
遂 uep
帷 mhw
遛 qyvp
汽 irn
遗 khgp
崭 ml
蓿 apwj
汴 iyh
遒 usgp
粗 oe
朋 ee
粕 org
服 eb
望 yneg
朐 eqk
朔 ubte
末 gs
粱 ivwo
精 oge
粪 oawu
朴 shy
鹅 trng
回 lkd
鹏 eeq
撮 rjb
撬 rtfn
撷 rfkm
撵 rfwl
鹜 cbtg
撼 rdgn
囿 lde
图 ltu
鹦 mmvg
撇 rumt
鹭 khtg
围 lfnh
鹳 akkg
掷 rudb
砾 dqi
砸 damh
掰 rwvr
砷 djhh
掺 rcd
控 rpw
砭 dtp
掮 ryne
砧 dhkg
掖 ryw
饽 qnfb
饿 qnt
饱 qnqn
饰 qnth
亲 us
掂 ryh
饥 qnm
码 dcg
掉 rhj
蹁 khya
蹉 khua
髦 detn
高 ym
蹭 khuj
蹴 khyn
蹼 khoy
髌 mepw
涉 ihi
消 iie
涅 ijfg
逡 cwt
逗 gkup
涨 ix
通 cep
润 iugg
巧 agnn
左 da
涡 ikm
涿 ieyy
送 udp
逆 ubtp
巾 mhk
逅 rgkp
逊 bip
已 nnnn
蔼 ayj
逍 iep
奚 exd
奔 dfa
奋 dlf
要 s
奇 dskf
覆 stt
奸 vfh
燧 oue
燮 oyoc
肩 yned
肤 efw
剽 sfij
核 synw
他 wb
仗 wdyy
仔 wbg
仕 wfg
胜 etg
仑 wxb
胝 eqa
